EQUIPE Ronflex
INSTANCE 16
0 0
0 4
0 9
0 12
0 24
0 26
0 35
0 42
0 46
1 24
1 32
1 49
2 2
2 6
2 13
2 17
2 30
2 31
2 38
2 45
2 46
3 0
3 23
4 10
4 15
4 25
4 37
4 43
4 47
4 49
5 2
5 9
5 18
5 24
5 34
5 38
6 3
6 28
6 29
6 43
7 12
7 36
7 42
8 6
8 13
8 22
8 33
9 3
9 16
9 25
9 35
9 45
10 0
10 27
10 49
11 6
11 17
11 26
11 32
11 36
11 41
11 46
12 8
12 22
12 23
12 25
12 29
12 30
12 38
13 5
13 17
13 34
13 36
13 47
14 7
14 14
14 24
14 31
14 37
14 42
14 44
15 15
15 35
16 0
16 6
16 12
16 17
16 25
16 33
16 46
17 8
17 19
17 20
17 26
17 40
17 45
18 13
18 22
18 28
18 36
19 42
20 4
20 26
20 32
20 34
21 3
21 9
21 18
21 21
21 27
21 37
21 45
22 0
22 7
22 9
22 19
22 39
22 47
22 49
23 1
23 8
23 10
23 15
23 19
23 24
23 29
23 41
24 5
24 14
24 19
24 28
24 33
24 40
